state,year,ammunition_regulations,assault_weapons_regulations,background_checks,buyer_regulations,child_access_prevention,concealed_carry_permitting,dealer_regulations,domestic_violence,gun_trafficking,immunity,no_stand_your_ground,possession_regulations,preemption,prohibitions_against_high_risk_gun_owners,lawtotal
Alabama,2014,0,0,0,0,0,4,5,0,0,0,0,0,0,1,10
Alaska,2014,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4
Arizona,2014,0,0,0,0,0,3,0,3,0,0,0,1,0,4,11
Arkansas,2014,0,0,0,0,0,5,0,0,0,0,1,2,0,3,11
California,2014,4,7,11,10,9,6,14,18,6,1,1,4,2,7,100
Colorado,2014,0,1,9,0,0,5,2,7,2,0,1,2,0,1,30
Connecticut,2014,5,7,10,8,5,4,12,11,2,1,1,7,3,8,84
Delaware,2014,1,0,8,2,4,4,5,4,2,0,1,1,0,6,38
Florida,2014,1,0,0,1,3,3,1,1,2,0,0,8,0,1,21
Georgia,2014,0,0,0,0,0,4,0,0,0,0,0,1,0,1,6
Hawaii,2014,1,0,6,15,5,6,8,17,0,1,1,5,3,9,77
Idaho,2014,0,0,0,0,0,3,0,0,0,0,1,1,0,0,5
Illinois,2014,3,0,9,6,3,5,5,16,2,1,1,6,1,6,64
Indiana,2014,0,0,0,0,0,4,1,2,1,0,0,3,0,0,11
Iowa,2014,2,0,3,4,2,5,0,4,0,1,1,2,0,1,25
Kansas,2014,0,0,0,0,0,4,0,0,0,0,0,0,0,4,8
Kentucky,2014,0,0,0,0,0,5,0,0,0,0,0,1,0,1,7
Louisiana,2014,0,0,0,1,0,5,0,3,0,0,0,3,0,0,12
Maine,2014,0,0,0,0,0,2,2,1,0,0,1,1,0,4,11
Maryland,2014,3,5,6,9,7,5,7,6,3,1,1,3,0,7,63
Massachusetts,2014,6,4,7,10,11,5,14,17,5,1,1,9,3,7,100
Michigan,2014,0,0,3,3,1,4,6,0,0,0,0,2,0,1,20
Minnesota,2014,0,0,0,1,6,5,2,14,0,1,1,3,0,6,39
Mississippi,2014,0,0,0,0,0,3,0,0,0,0,0,1,0,1,5
Missouri,2014,0,0,0,0,0,5,0,0,0,0,1,0,0,2,8
Montana,2014,0,0,0,0,0,2,0,1,0,0,0,1,0,0,4
Nebraska,2014,0,0,2,3,0,5,0,3,1,1,1,3,2,1,22
Nevada,2014,1,0,0,0,0,5,0,0,0,0,0,2,0,3,11
New Hampshire,2014,0,0,0,0,3,1,1,5,0,0,0,0,0,0,10
New Jersey,2014,2,5,5,10,6,7,8,7,1,1,1,7,3,4,67
New Mexico,2014,0,0,0,0,0,4,0,0,0,1,1,3,0,1,10
New York,2014,2,8,8,7,2,6,5,16,2,1,1,6,3,8,75
North Carolina,2014,0,0,4,2,4,5,1,10,0,0,0,3,0,1,30
North Dakota,2014,0,0,0,0,0,4,0,0,2,0,1,2,0,5,14
Ohio,2014,0,0,0,3,0,4,0,1,2,0,1,1,0,3,15
Oklahoma,2014,0,0,0,1,0,4,0,1,0,0,0,2,0,1,9
Oregon,2014,0,0,6,2,0,4,5,0,0,1,1,1,0,4,24
Pennsylvania,2014,0,0,6,3,1,5,10,5,1,0,0,1,0,4,36
Rhode Island,2014,2,0,9,9,4,3,8,0,0,1,1,3,0,3,43
South Carolina,2014,0,0,0,0,0,4,0,0,0,0,0,5,0,3,12
South Dakota,2014,0,0,0,0,0,3,0,1,0,0,0,0,0,1,5
Tennessee,2014,0,0,0,1,0,3,4,7,0,0,0,5,0,4,24
Texas,2014,0,0,0,1,4,4,0,5,0,0,0,5,0,1,20
Utah,2014,0,0,0,0,0,3,0,1,2,0,0,2,0,3,11
Vermont,2014,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Virginia,2014,0,0,0,0,0,4,0,0,2,0,1,1,0,4,12
Washington,2014,1,0,11,3,0,5,7,7,0,0,1,2,0,4,41
West Virginia,2014,2,0,0,2,0,5,1,7,0,0,0,1,0,6,24
Wisconsin,2014,0,0,0,2,2,5,0,6,0,1,1,2,0,5,24
Wyoming,2014,0,0,0,0,0,3,0,0,0,1,1,3,0,1,9
Alabama,2015,0,0,0,0,0,4,1,2,0,0,0,0,0,3,10
Alaska,2015,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4
Arizona,2015,0,0,0,0,0,3,0,3,0,0,0,1,0,4,11
Arkansas,2015,0,0,0,0,0,5,0,0,0,0,1,2,0,3,11
California,2015,4,7,11,11,9,6,14,18,6,1,1,5,2,7,102
Colorado,2015,0,1,9,0,0,5,2,7,2,0,1,2,0,1,30
Connecticut,2015,5,7,10,8,5,4,12,11,2,1,1,7,3,8,84
Delaware,2015,1,0,8,2,4,4,5,4,2,0,1,1,0,6,38
Florida,2015,1,0,0,1,3,3,1,1,2,0,0,8,0,1,21
Georgia,2015,0,0,0,0,0,4,0,0,0,0,0,1,0,1,6
Hawaii,2015,1,0,6,15,5,6,8,17,0,1,1,5,3,9,77
Idaho,2015,0,0,0,0,0,4,0,0,0,0,1,1,0,0,6
Illinois,2015,3,0,9,6,3,5,5,16,2,1,1,6,1,6,64
Indiana,2015,0,0,0,0,0,4,1,2,1,0,0,3,0,0,11
Iowa,2015,2,0,3,4,2,5,0,4,0,1,1,2,0,1,25
Kansas,2015,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7
Kentucky,2015,0,0,0,0,0,5,0,0,0,0,0,1,0,1,7
Louisiana,2015,0,0,0,1,0,5,0,3,0,0,0,3,0,0,12
Maine,2015,0,0,0,0,0,1,2,3,0,0,1,1,0,4,12
Maryland,2015,3,5,6,9,7,5,7,8,2,1,1,3,0,7,64
Massachusetts,2015,6,4,7,10,11,5,14,17,5,1,1,9,3,7,100
Michigan,2015,0,0,3,3,1,5,6,0,0,0,0,2,0,1,21
Minnesota,2015,0,0,0,1,6,5,2,14,2,1,1,3,0,6,41
Mississippi,2015,0,0,0,0,0,3,0,0,0,0,0,1,0,1,5
Missouri,2015,0,0,0,0,0,5,0,0,0,0,1,0,0,2,8
Montana,2015,0,0,0,0,0,2,0,1,0,0,0,1,0,0,4
Nebraska,2015,0,0,2,3,0,5,0,3,1,1,1,3,2,1,22
Nevada,2015,1,0,0,0,0,5,0,2,0,0,0,2,0,5,15
New Hampshire,2015,0,0,0,0,3,1,1,5,0,0,0,0,0,0,10
New Jersey,2015,2,5,5,10,6,7,8,7,1,1,1,7,3,4,67
New Mexico,2015,0,0,0,0,0,4,0,0,0,1,1,3,0,1,10
New York,2015,2,8,8,7,2,6,5,16,2,1,1,6,3,8,75
North Carolina,2015,0,0,4,2,4,5,1,10,0,0,0,3,0,1,30
North Dakota,2015,0,0,0,0,0,4,0,0,2,0,1,2,0,5,14
Ohio,2015,0,0,0,3,0,5,0,1,2,0,1,1,0,3,16
Oklahoma,2015,0,0,0,1,0,4,0,1,0,0,0,2,0,1,9
Oregon,2015,0,0,10,2,0,4,9,0,0,1,1,1,0,5,33
Pennsylvania,2015,0,0,6,3,1,5,10,5,1,0,0,1,0,4,36
Rhode Island,2015,2,0,9,9,4,3,8,0,0,1,1,3,0,3,43
South Carolina,2015,0,0,0,0,0,4,0,0,0,0,0,5,0,3,12
South Dakota,2015,0,0,0,0,0,3,0,1,0,0,0,0,0,1,5
Tennessee,2015,0,0,0,1,0,3,4,7,0,0,0,5,0,4,24
Texas,2015,0,0,0,1,4,4,0,5,0,0,0,5,0,1,20
Utah,2015,0,0,0,0,0,3,0,1,2,0,0,2,0,3,11
Vermont,2015,0,0,0,0,0,0,1,3,0,1,1,0,0,0,6
Virginia,2015,0,0,0,0,0,4,0,0,2,0,1,1,0,4,12
Washington,2015,1,0,11,3,0,5,7,7,0,0,1,2,0,4,41
West Virginia,2015,2,0,0,2,0,5,1,7,0,0,0,1,0,6,24
Wisconsin,2015,0,0,0,1,2,5,0,6,0,1,1,2,0,5,23
Wyoming,2015,0,0,0,0,0,3,0,0,0,1,1,3,0,1,9
Alabama,2016,0,0,0,0,0,4,1,2,0,0,0,0,0,3,10
Alaska,2016,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4
Arizona,2016,0,0,0,0,0,3,0,3,0,0,0,1,0,4,11
Arkansas,2016,0,0,0,0,0,5,0,0,0,0,1,2,0,3,11
California,2016,4,7,11,11,9,6,14,18,6,1,1,7,2,7,104
Colorado,2016,0,1,9,0,0,5,2,7,2,0,1,2,0,1,30
Connecticut,2016,5,7,10,8,5,4,12,16,2,1,1,7,3,8,89
Delaware,2016,1,0,9,2,4,4,5,4,2,0,1,1,0,6,39
Florida,2016,1,0,0,1,3,3,1,1,2,0,0,8,0,1,21
Georgia,2016,0,0,0,0,0,4,0,0,0,0,0,1,0,1,6
Hawaii,2016,1,0,6,15,5,6,8,18,0,1,1,5,3,9,78
Idaho,2016,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4
Illinois,2016,3,0,9,6,3,5,5,16,2,1,1,6,1,6,64
Indiana,2016,0,0,0,0,0,4,1,3,1,0,0,3,0,0,12
Iowa,2016,2,0,3,4,2,5,0,4,0,1,1,2,0,1,25
Kansas,2016,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7
Kentucky,2016,0,0,0,0,0,5,0,0,0,0,0,1,0,1,7
Louisiana,2016,0,0,0,1,0,5,0,3,0,0,0,3,0,0,12
Maine,2016,0,0,0,0,0,1,2,3,0,0,1,1,0,4,12
Maryland,2016,3,5,6,9,7,5,7,8,2,1,1,3,0,7,64
Massachusetts,2016,6,4,7,10,11,5,14,17,5,1,1,9,3,7,100
Michigan,2016,0,0,3,3,1,5,6,0,0,0,0,2,0,1,21
Minnesota,2016,0,0,0,1,6,5,2,14,2,1,1,3,0,6,41
Mississippi,2016,0,0,0,0,0,3,0,0,0,0,0,1,0,1,5
Missouri,2016,0,0,0,0,0,5,0,0,0,0,0,0,0,2,7
Montana,2016,0,0,0,0,0,2,0,1,0,0,0,1,0,0,4
Nebraska,2016,0,0,2,3,0,5,0,3,1,1,1,3,2,1,22
Nevada,2016,1,0,0,0,0,5,0,2,0,0,0,2,0,5,15
New Hampshire,2016,0,0,0,0,3,1,1,5,0,0,0,0,0,0,10
New Jersey,2016,2,5,5,10,6,7,8,7,1,1,1,7,3,4,67
New Mexico,2016,0,0,0,0,0,4,0,0,0,1,1,3,0,1,10
New York,2016,2,8,8,7,2,6,5,16,2,1,1,6,3,8,75
North Carolina,2016,0,0,4,2,4,5,1,10,0,0,0,3,0,1,30
North Dakota,2016,0,0,0,0,0,4,0,0,2,0,1,2,0,5,14
Ohio,2016,0,0,0,3,0,5,0,1,2,0,1,1,0,3,16
Oklahoma,2016,0,0,0,1,0,4,0,1,0,0,0,2,0,1,9
Oregon,2016,0,0,10,2,0,4,9,2,0,1,1,1,0,5,35
Pennsylvania,2016,0,0,6,3,1,5,10,5,1,0,0,1,0,4,36
Rhode Island,2016,2,0,9,9,4,3,8,0,0,1,1,3,0,3,43
South Carolina,2016,0,0,0,0,0,4,0,0,0,0,0,5,0,3,12
South Dakota,2016,0,0,0,0,0,3,0,1,0,0,0,0,0,1,5
Tennessee,2016,0,0,0,1,0,3,4,7,0,0,0,3,0,4,22
Texas,2016,0,0,0,1,4,4,0,5,0,0,0,3,0,1,18
Utah,2016,0,0,0,0,0,3,0,1,2,0,0,2,0,3,11
Vermont,2016,0,0,0,0,0,0,1,3,0,1,1,0,0,0,6
Virginia,2016,0,0,0,0,0,4,0,1,2,0,1,1,0,4,13
Washington,2016,1,0,11,3,0,5,7,7,0,0,1,4,0,4,43
West Virginia,2016,2,0,0,2,0,3,1,7,0,0,0,0,0,6,21
Wisconsin,2016,0,0,0,1,2,5,0,6,0,1,1,2,0,5,23
Wyoming,2016,0,0,0,0,0,3,0,0,0,1,1,3,0,1,9
Alabama,2017,0,0,0,0,0,4,1,2,0,0,0,0,0,3,10
Alaska,2017,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4
Arizona,2017,0,0,0,0,0,3,0,3,0,0,0,1,0,4,11
Arkansas,2017,0,0,0,0,0,5,0,0,0,0,1,2,0,3,11
California,2017,4,8,11,12,9,6,14,18,6,1,1,7,2,7,106
Colorado,2017,0,1,9,0,0,5,2,7,2,0,1,2,0,1,30
Connecticut,2017,5,7,10,8,5,4,12,16,2,1,1,7,3,8,89
Delaware,2017,1,0,9,2,4,4,5,5,2,0,1,1,0,6,40
Florida,2017,1,0,0,1,3,3,1,1,2,0,0,8,0,1,21
Georgia,2017,0,0,0,0,0,4,0,0,0,0,0,1,0,1,6
Hawaii,2017,1,0,6,15,5,6,8,18,0,1,1,5,3,9,78
Idaho,2017,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4
Illinois,2017,3,0,9,6,3,5,5,16,2,1,1,6,1,6,64
Indiana,2017,0,0,0,0,0,4,1,3,1,0,0,3,0,0,12
Iowa,2017,2,0,3,4,2,5,0,4,0,1,0,2,0,1,24
Kansas,2017,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7
Kentucky,2017,0,0,0,0,0,5,0,0,0,0,0,1,0,1,7
Louisiana,2017,0,0,0,1,0,5,0,3,0,0,0,3,0,0,12
Maine,2017,0,0,0,0,0,1,2,3,0,0,1,1,0,4,12
Maryland,2017,3,5,6,9,7,5,7,8,2,1,1,3,0,7,64
Massachusetts,2017,6,4,7,10,11,5,14,17,5,1,1,9,3,7,100
Michigan,2017,0,0,3,3,1,5,6,0,0,0,0,2,0,1,21
Minnesota,2017,0,0,0,1,6,5,2,14,2,1,1,3,0,6,41
Mississippi,2017,0,0,0,0,0,3,0,0,0,0,0,1,0,1,5
Missouri,2017,0,0,0,0,0,4,0,0,0,0,0,0,0,2,6
Montana,2017,0,0,0,0,0,2,0,1,0,0,0,1,0,0,4
Nebraska,2017,0,0,2,3,0,5,0,3,1,1,1,3,2,1,22
Nevada,2017,1,0,6,0,0,5,0,2,0,0,0,2,0,5,21
New Hampshire,2017,0,0,0,0,3,0,1,5,0,0,0,0,0,0,9
New Jersey,2017,2,5,5,10,6,7,8,15,1,1,1,7,3,4,75
New Mexico,2017,0,0,0,0,0,4,0,0,0,1,1,3,0,1,10
New York,2017,2,8,8,7,2,6,5,16,2,1,1,6,3,8,75
North Carolina,2017,0,0,4,2,4,5,1,10,0,0,0,3,0,1,30
North Dakota,2017,0,0,0,0,0,3,0,0,2,0,1,2,0,5,13
Ohio,2017,0,0,0,3,0,5,0,1,2,0,1,1,0,3,16
Oklahoma,2017,0,0,0,1,0,4,0,1,0,0,0,2,0,1,9
Oregon,2017,0,0,10,2,0,4,9,2,0,1,1,1,0,5,35
Pennsylvania,2017,0,0,6,3,1,5,10,5,1,0,0,1,0,4,36
Rhode Island,2017,2,0,9,9,4,3,8,0,0,1,1,3,0,3,43
South Carolina,2017,0,0,0,0,0,4,0,0,0,0,0,5,0,3,12
South Dakota,2017,0,0,0,0,0,3,0,1,0,0,0,0,0,1,5
Tennessee,2017,0,0,0,1,0,3,4,7,0,0,0,3,0,4,22
Texas,2017,0,0,0,1,4,4,0,5,0,0,0,3,0,1,18
Utah,2017,0,0,0,0,0,3,0,3,2,0,0,2,0,3,13
Vermont,2017,0,0,0,0,0,0,1,3,0,1,1,0,0,0,6
Virginia,2017,0,0,0,0,0,4,0,1,2,0,1,1,0,4,13
Washington,2017,1,0,11,3,0,5,7,7,0,0,1,4,0,4,43
West Virginia,2017,2,0,0,2,0,3,1,7,0,0,0,0,0,6,21
Wisconsin,2017,0,0,0,1,2,5,0,6,0,1,1,2,0,5,23
Wyoming,2017,0,0,0,0,0,3,0,0,0,1,1,3,0,1,9